Timestamp,"How do you pronounce ""epoch""?",How strongly are you attached to this pronounciation? (How unwilling are you to change your pronounciation?),You are a/an...,You are mainly situated in which country?,Which statement about your language background best describes you?,Your primary area of interest/expertise is... (select all that apply),What is your favorite generic ice cream flavor?
2/19/2024 17:38:35,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,"Computer Vision, Robotics",Vanilla
2/19/2024 17:39:29,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/19/2024 17:44:39,"""ee - pawk""",1,Magical unicorn,US,The only language I speak and have spoken is English,Pizza,Strawberry
2/19/2024 17:48:17,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics",Vanilla
2/19/2024 18:16:02,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/19/2024 19:10:49,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Robotics, Machine Learning & Statistical Theory",Chocolate
2/19/2024 19:16:26,"""eh - pawk""",2,Undergrad,US,,,Vanilla
2/19/2024 19:52:34,"""ee - pawk""",4,Grad student,US,,,Strawberry
2/19/2024 19:53:54,"""ee - pawk""",4,Grad student,US,The only language I speak and have spoken is English,"Reinforcement & Interactive Learning, Robotics",Chocolate
2/19/2024 20:24:10,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 20:39:43,"""ee - pawk""",3,"Industry, research",Australia,The only language I speak and have spoken is English,"Computer Vision, Robotics, Machine Learning & Statistical Theory",Chocolate
2/19/2024 21:24:09,"""eh - pick""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/19/2024 21:30:02,"""eh - pawk""",1,Magical unicorn,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 22:53:25,"""eh - puck""",1,"Academia/Research Institution, post-graduate",US,"English is my native language, I didn't grow up speaking other languages, but now I speak several others fairly poorly ",Natural Language Processing,Vanilla
2/19/2024 23:40:26,"""ee - pawk""",2,Grad student,Germany,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 1:07:27,"""eh - puck""",4,"Academia/Research Institution, post-graduate",Germany ,I am equally fluent in English and another language(s),Natural Language Processing,Strawberry
2/20/2024 1:11:15,"""ee - pawk""",5,Grad student,sweden,"(US-American) English is my first language, but I speak other languages too",Natural Language Processing,Chocolate
2/20/2024 5:19:47,"""ee - pawk""",1,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/20/2024 5:33:51,"""eh - pick""",4,Grad student,US,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Chocolate
2/20/2024 6:18:26,"""eh - pawk""",3,Grad student,US,The only language I speak and have spoken is English,MechE + Nuclear Engineering,Strawberry
2/20/2024 7:01:04,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/20/2024 7:04:29,"""ee - pawk""",1,Magical unicorn,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Chocolate
2/20/2024 7:04:30,"""ee - pawk""",3,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 7:09:07,"""eh - pawk""",3,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/20/2024 7:09:41,"""eh - puck""",2,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, computational linguistics",Chocolate
2/20/2024 7:12:32,"""eh - pawk""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/20/2024 7:14:00,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Chocolate
2/20/2024 7:20:54,"""eh - puck""",1,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 7:23:55,"""eh - pawk""",1,"Academia/Research Institution, post-graduate",US,I am equally fluent in English and another language(s),Natural Language Processing,Chocolate
2/20/2024 7:24:18,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing",Vanilla
2/20/2024 7:24:51,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),Natural Language Processing,Chocolate
2/20/2024 7:29:43,"""eh - pawk""",5,Nightmare dressed as a daydream,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 7:31:56,"""ee - pawk""",5,Grad student,,"English is my second language, but I am fluent in it","Natural Language Processing, Reinforcement & Interactive Learning, Robotics",Vanilla
2/20/2024 7:40:42,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",,Vanilla
2/20/2024 7:40:56,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/20/2024 7:41:17,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,"Natural Language Processing, Machine Learning & Statistical Theory",
2/20/2024 7:55:10,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,Robotics,Chocolate
2/20/2024 7:55:14,"""ee - pawk""",1,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Robotics",Chocolate
2/20/2024 8:03:17,"""ee - pawk""",2,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing, Machine Learning & Statistical Theory",Chocolate
2/20/2024 8:07:47,"""ee - pawk""",1,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/20/2024 8:20:43,"""ee - pawk""",2,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 8:28:17,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 8:31:22,"""ee - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:35:39,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:49:37,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:51:52,"""ee - pawk""",3,Magical unicorn,US,The only language I speak and have spoken is English,Natural Language Processing,Strawberry
2/20/2024 9:25:21,"""eh - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Reinforcement & Interactive Learning, Robotics, Machine Learning & Statistical Theory",Vanilla
2/20/2024 9:34:03,"""ee - pawk""",1,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Robotics",Chocolate
2/20/2024 9:54:04,"""eh - pawk""",5,Grad student,Portugal,"English is my second language, but I am fluent in it",Natural Language Processing,Vanilla
2/20/2024 9:58:59,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Machine Learning & Statistical Theory, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 9:59:30,"""eh - puck""",4,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Vanilla
2/20/2024 10:09:05,"""eh - pick""",3,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 10:17:35,"""eh - pick""",2,Grad student,US,"English is my second language, but I am fluent in it",Computer Vision,Chocolate
2/20/2024 10:19:59,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,"Computer Vision, Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/20/2024 10:21:04,"""eh - pawk""",1,Undergrad,US,"English is my second language, but I am fluent in it",Robotics,Strawberry
2/20/2024 10:32:13,"""ee - pawk""",5,Magical unicorn,Mars,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/20/2024 11:58:20,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Cognitive Science,Vanilla
2/20/2024 11:59:55,"""ee - pawk""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,,Chocolate
2/20/2024 12:08:49,"""eh - pawk""",4,"Academia/Research Institution, post-graduate",Korea,"English is my second language, and I am not quite fluent in it","Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/20/2024 12:21:31,"""eh - pawk""",2,Grad student,US,The only language I speak and have spoken is English,HCI,Chocolate
2/20/2024 12:31:03,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Robotics,Vanilla
2/20/2024 12:40:54,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it","Reinforcement & Interactive Learning, Robotics",Chocolate
2/20/2024 13:16:52,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,"Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 13:39:40,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/20/2024 17:12:06,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 18:36:00,"""eh - pick""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics, Machine Learning & Statistical Theory",Vanilla
2/20/2024 19:43:09,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Robotics,Chocolate
2/20/2024 21:26:23,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Psycholinguistics,Vanilla
2/20/2024 21:27:33,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/21/2024 0:38:59,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),Natural Language Processing,Strawberry
2/21/2024 1:17:56,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",Canada,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Vanilla
2/21/2024 7:46:26,"""eh - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/21/2024 7:49:35,"""ee - pawk""",5,Magical unicorn,US,"English is my second language, but I am fluent in it",Reinforcement & Interactive Learning,Vanilla
2/21/2024 8:13:04,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/21/2024 10:31:32,"""ee - pawk""",3,Grad student,US,"My main language is English, but I grew up speaking other languages too",Robotics,Chocolate
2/21/2024 10:34:50,"""ee - pawk""",5,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics, Machine Learning & Statistical Theory",Vanilla
2/21/2024 13:22:13,"""ee - pawk""",3,Undergrad,US,The only language I speak and have spoken is English,your mom,Vanilla
2/21/2024 15:43:28,"""ee - pawk""",3,"Industry, research",US,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/21/2024 16:48:28,"""eh - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it","Natural Language Processing, Machine Learning & Statistical Theory",Chocolate
2/21/2024 18:24:50,"""ee - pawk""",4,"Industry, research",US,The only language I speak and have spoken is English,Robotics,Chocolate
2/21/2024 19:28:51,"""ee - pawk""",3,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/23/2024 3:34:19,"""ee - pawk""",4,Undergrad,US,The only language I speak and have spoken is English,"Computer Vision, Robotics",Chocolate
2/23/2024 11:55:51,"""ee - pawk""",4,Undergrad,Canada,The only language I speak and have spoken is English,"Social Aspects of ML (fairness, safety, privacy)",Chocolate
